iter	Passed	Remaining
1055	23617	9930
1056	23639	9907
1057	23660	9884
1058	23682	9862
1059	23703	9839
1060	23725	9816
1061	23747	9793
1062	23768	9771
1063	23788	9748
1064	23809	9724
1065	23832	9702
1066	23853	9680
1067	23876	9657
1068	23897	9634
1069	23918	9612
1070	23941	9590
1071	23963	9567
1072	23984	9544
1073	24006	9522
1074	24028	9499
1075	24052	9477
1076	24075	9455
1077	24096	9433
1078	24120	9411
1079	24142	9388
1080	24165	9366
1081	24186	9343
1082	24208	9321
1083	24229	9298
1084	24250	9275
1085	24273	9253
1086	24295	9230
1087	24315	9207
1088	24338	9185
1089	24360	9162
1090	24381	9140
1091	24403	9117
1092	24425	9095
1093	24447	9072
1094	24469	9050
1095	24490	9027
1096	24512	9005
1097	24532	8981
1098	24554	8959
1099	24575	8936
1100	24598	8914
1101	24619	8891
1102	24644	8870
1103	24664	8847
1104	24686	8824
1105	24708	8802
1106	24730	8779
1107	24752	8757
1108	24773	8734
1109	24795	8711
1110	24817	8689
1111	24840	8667
1112	24863	8645
1113	24884	8622
1114	24908	8600
1115	24929	8577
1116	24950	8555
1117	24972	8532
1118	24994	8510
1119	25016	8487
1120	25038	8465
1121	25061	8443
1122	25086	8421
1123	25108	8399
1124	25130	8376
1125	25153	8354
1126	25175	8332
1127	25197	8309
1128	25220	8287
1129	25240	8264
1130	25260	8241
1131	25284	8219
1132	25306	8197
1133	25329	8175
1134	25350	8152
1135	25371	8129
1136	25392	8106
1137	25413	8084
1138	25435	8061
1139	25455	8038
1140	25477	8016
1141	25499	7993
1142	25521	7971
1143	25544	7949
1144	25566	7926
1145	25589	7904
1146	25614	7883
1147	25635	7860
1148	25658	7838
1149	25682	7816
1150	25700	7792
1151	25720	7769
1152	25742	7747
1153	25765	7725
1154	25786	7702
1155	25804	7678
1156	25824	7655
1157	25845	7633
1158	25865	7610
1159	25886	7587
1160	25908	7564
1161	25931	7542
1162	25947	7518
1163	25969	7496
1164	25987	7472
1165	26009	7450
1166	26029	7427
1167	26051	7405
1168	26074	7382
1169	26095	7360
1170	26112	7336
1171	26135	7314
1172	26160	7292
1173	26182	7270
1174	26203	7247
1175	26227	7225
1176	26249	7203
1177	26270	7181
1178	26295	7159
1179	26316	7136
1180	26339	7114
1181	26359	7091
1182	26381	7069
1183	26403	7046
1184	26424	7024
1185	26445	7001
1186	26469	6979
1187	26494	6958
1188	26515	6935
1189	26539	6913
1190	26561	6891
1191	26582	6868
1192	26605	6846
1193	26628	6824
1194	26650	6802
1195	26675	6780
1196	26693	6756
1197	26715	6734
1198	26737	6712
1199	26759	6689
1200	26784	6668
1201	26806	6645
1202	26829	6623
1203	26850	6601
1204	26871	6578
1205	26893	6556
1206	26914	6533
1207	26936	6511
1208	26957	6488
1209	26978	6465
1210	27000	6443
1211	27024	6421
1212	27046	6399
1213	27068	6376
1214	27090	6354
1215	27112	6332
1216	27136	6310
1217	27159	6288
1218	27183	6266
1219	27207	6244
1220	27232	6222
1221	27255	6200
1222	27277	6178
1223	27299	6155
1224	27323	6133
1225	27348	6112
1226	27370	6089
1227	27393	6067
1228	27418	6045
1229	27439	6023
1230	27462	6001
1231	27485	5979
1232	27509	5956
1233	27531	5934
1234	27553	5912
1235	27576	5890
1236	27596	5867
1237	27618	5845
1238	27641	5822
1239	27665	5800
1240	27690	5779
1241	27714	5757
1242	27736	5734
1243	27761	5712
1244	27784	5690
1245	27805	5668
1246	27829	5646
1247	27850	5623
1248	27872	5601
1249	27895	5579
1250	27917	5556
1251	27943	5535
1252	27966	5512
1253	27990	5490
1254	28013	5468
1255	28035	5446
1256	28057	5424
